time_type,date,indicator,indicator_category,geography,group_name,group_category,estimate,sd,season
Weekly,9/30/2023,booster,boosted,National,Sexual Orientation,Gay/Lesbian/Bisexual/Other,3.1656,1.0509183673469389,2023/2024
Weekly,9/30/2023,booster,boosted,National,Sexual Orientation,Straight,2.969,0.26964285714285713,2023/2024
Weekly,9/30/2023,booster,boosted,National,Sex,Female,3.2283,0.3540816326530612,2023/2024
Weekly,9/30/2023,booster,boosted,National,Sex,Male,2.6886,0.35903061224489796,2023/2024
Weekly,9/30/2023,booster,boosted,National,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic",0.3584,0.18612244897959185,2023/2024
Weekly,9/30/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income >= $75k",4.1884,0.5439285714285714,2023/2024
Weekly,9/30/2023,booster,boosted,National,Poverty Status,Below Poverty,0.7974,0.18877551020408162,2023/2024
Weekly,9/30/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income < $75k",1.9892,0.2348469387755102,2023/2024
Weekly,9/30/2023,booster,boosted,National,Poverty Status,Poverty Status Unknown,3.545,0.6228061224489796,2023/2024
Weekly,9/30/2023,booster,boosted,Alabama,Overall,Overall,1.6345,0.19785714285714284,2023/2024
Weekly,9/30/2023,booster,boosted,Alaska,Overall,Overall,1.8194,1.8152551020408163,2023/2024
Weekly,9/30/2023,booster,boosted,Arizona,Overall,Overall,4.0154,0.3707142857142857,2023/2024
Weekly,9/30/2023,booster,boosted,Arkansas,Overall,Overall,1.3276,0.5106632653061224,2023/2024
Weekly,9/30/2023,booster,boosted,California,Overall,Overall,4.3192,0.9839795918367348,2023/2024
Weekly,9/30/2023,booster,boosted,Indiana,Overall,Overall,1.8929,0.8778571428571428,2023/2024
Weekly,9/30/2023,booster,boosted,Iowa,Overall,Overall,4.2178,0.7658163265306122,2023/2024
Weekly,9/30/2023,booster,boosted,Kansas,Overall,Overall,3.0094,0.4304081632653061,2023/2024
Weekly,9/30/2023,booster,boosted,Kentucky,Overall,Overall,3.1043,0.6481122448979592,2023/2024
Weekly,9/30/2023,booster,boosted,Louisiana,Overall,Overall,1.5246,0.4338775510204082,2023/2024
Weekly,9/30/2023,booster,boosted,Maine,Overall,Overall,4.1237,0.9287755102040817,2023/2024
Weekly,9/30/2023,booster,boosted,Maryland,Overall,Overall,3.1191,1.5163265306122449,2023/2024
Weekly,9/30/2023,booster,boosted,Massachusetts,Overall,Overall,4.1238,1.220969387755102,2023/2024
Weekly,9/30/2023,booster,boosted,Michigan,Overall,Overall,3.7261,0.7472448979591836,2023/2024
Weekly,9/30/2023,booster,boosted,Illinois-City of Chicago,Overall,Overall,4.7132,2.783673469387755,2023/2024
Weekly,9/30/2023,booster,boosted,Illinois-Rest of State,Overall,Overall,3.318,0.6976530612244898,2023/2024
Weekly,9/30/2023,booster,boosted,New York-New York City,Overall,Overall,1.6488,1.0554591836734695,2023/2024
Weekly,9/30/2023,booster,boosted,New York-Rest of State,Overall,Overall,3.3742,1.0696428571428571,2023/2024
Weekly,9/30/2023,booster,boosted,Pennsylvania-Philadelphia County,Overall,Overall,3.1791,0.8217857142857143,2023/2024
Weekly,9/30/2023,booster,boosted,Pennsylvania-Rest of State,Overall,Overall,4.5669,0.8915816326530612,2023/2024
Weekly,9/30/2023,booster,boosted,Texas-Bexar County,Overall,Overall,2.4256,0.7795918367346939,2023/2024
Weekly,9/30/2023,booster,boosted,Texas-City of Houston,Overall,Overall,4.1487,0.6041836734693877,2023/2024
Weekly,10/7/2023,booster,boosted,Illinois-City of Chicago,Overall,Overall,6.7455,1.2535714285714286,2023/2024
Weekly,10/7/2023,booster,boosted,Illinois-Rest of State,Overall,Overall,5.6063,0.5491836734693878,2023/2024
Weekly,10/7/2023,booster,boosted,New York-New York City,Overall,Overall,4.1923,0.9684693877551022,2023/2024
Weekly,10/7/2023,booster,boosted,New York-Rest of State,Overall,Overall,5.2844,0.8010714285714287,2023/2024
Weekly,10/7/2023,booster,boosted,Pennsylvania-Philadelphia County,Overall,Overall,4.5893,0.9316836734693879,2023/2024
Weekly,10/7/2023,booster,boosted,Pennsylvania-Rest of State,Overall,Overall,4.5669,0.8915816326530612,2023/2024
Weekly,10/7/2023,booster,boosted,Texas-Bexar County,Overall,Overall,4.2755,0.5626530612244898,2023/2024
Weekly,10/7/2023,booster,boosted,Texas-City of Houston,Overall,Overall,4.1487,0.6041836734693877,2023/2024
Weekly,10/7/2023,booster,boosted,Texas-Rest of State,Overall,Overall,3.5967,0.546530612,2023/2024
Weekly,10/7/2023,booster,boosted,National,Health Insurance Among 18-64 Years,Insured,3.0651,0.14433673469387753,2023/2024
Weekly,10/7/2023,booster,boosted,National,Health Insurance Among 18-64 Years,Uninsured,0.9588,0.13137755102040816,2023/2024
Weekly,10/7/2023,booster,boosted,National,Urbanicity,Rural (Non-MSA),2.4526,0.18331632653061225,2023/2024
Weekly,10/7/2023,booster,boosted,National,Urbanicity,Suburban (MSA Non-Principal City),4.8602,0.27505102040816326,2023/2024
Weekly,10/7/2023,booster,boosted,National,Urbanicity,Urban MSA Principal City,3.9464,0.22561224489795917,2023/2024
Weekly,10/7/2023,booster,boosted,National,Sexual Orientation,Don't Know/Refused,3.066,0.3078061224489796,2023/2024
Weekly,10/7/2023,booster,boosted,National,Sexual Orientation,Gay/Lesbian/Bisexual/Other,4.1503,0.34005102040816326,2023/2024
Weekly,10/7/2023,booster,boosted,National,Race/Ethnicity,"Other, Non-Hispanic",2.8205,0.37678571428571433,2023/2024
Weekly,10/7/2023,booster,boosted,National,Race/Ethnicity,"Pacific Islander/Native Hawaiian, Non-Hispanic",3.4739,0.9719387755102041,2023/2024
Weekly,10/7/2023,booster,boosted,National,Race/Ethnicity,"White, Non-Hispanic",5.5035,0.25744897959183677,2023/2024
Weekly,10/7/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income >= $75k",5.68,0.27214285714285713,2023/2024
Weekly,10/7/2023,booster,boosted,National,Poverty Status,Below Poverty,1.8019,0.19316326530612246,2023/2024
Weekly,10/7/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income < $75k",3.4311,0.31244897959183676,2023/2024
Weekly,10/7/2023,booster,boosted,National,Poverty Status,Poverty Status Unknown,4.4779,0.47255102040816327,2023/2024
Weekly,10/7/2023,booster,boosted,Alabama,Overall,Overall,1.6345,0.19785714285714284,2023/2024
Weekly,10/7/2023,booster,boosted,Georgia,Overall,Overall,2.2294,0.40122448979591835,2023/2024
Weekly,10/7/2023,booster,boosted,Hawaii,Overall,Overall,6.3274,0.9066326530612244,2023/2024
Weekly,10/7/2023,booster,boosted,Idaho,Overall,Overall,4.0925,1.022857142857143,2023/2024
Weekly,10/7/2023,booster,boosted,Illinois,Overall,Overall,7.1827,0.8013775510204082,2023/2024
Weekly,10/7/2023,booster,boosted,Indiana,Overall,Overall,2.687,0.5191326530612246,2023/2024
Weekly,10/7/2023,booster,boosted,Iowa,Overall,Overall,4.2178,0.7658163265306122,2023/2024
Weekly,10/7/2023,booster,boosted,Kansas,Overall,Overall,3.0094,0.4304081632653061,2023/2024
Weekly,10/7/2023,booster,boosted,Kentucky,Overall,Overall,3.8212,0.7108163265306122,2023/2024
Weekly,10/7/2023,booster,boosted,Louisiana,Overall,Overall,2.7534,0.4029591836734694,2023/2024
Weekly,10/7/2023,booster,boosted,Nevada,Overall,Overall,2.9193,0.32857142857142857,2023/2024
Weekly,10/7/2023,booster,boosted,New Hampshire,Overall,Overall,4.8774,0.46622448979591835,2023/2024
Weekly,10/7/2023,booster,boosted,New Jersey,Overall,Overall,5.2338,0.8020918367346939,2023/2024
Weekly,10/7/2023,booster,boosted,New Mexico,Overall,Overall,5.0617,0.6703061224489797,2023/2024
Weekly,10/7/2023,booster,boosted,New York,Overall,Overall,4.7937,0.6398979591836734,2023/2024
Weekly,10/7/2023,booster,boosted,North Carolina,Overall,Overall,4.1447,0.3666326530612245,2023/2024
Weekly,10/7/2023,booster,boosted,North Dakota,Overall,Overall,3.4499,0.997295918,2023/2024
Weekly,10/7/2023,booster,boosted,Ohio,Overall,Overall,2.4464,0.2951530612244898,2023/2024
Weekly,10/7/2023,booster,boosted,Oklahoma,Overall,Overall,2.5909,0.3319897959183673,2023/2024
Weekly,10/7/2023,booster,boosted,Vermont,Overall,Overall,NA,NA,2023/2024
Weekly,10/7/2023,booster,boosted,Virgin Islands,Overall,Overall,NA,NA,2023/2024
Weekly,10/7/2023,booster,boosted,Virginia,Overall,Overall,5.0301,0.731326531,2023/2024
Weekly,10/7/2023,booster,boosted,Washington,Overall,Overall,5.0796,0.8958163265306123,2023/2024
Weekly,10/7/2023,booster,boosted,West Virginia,Overall,Overall,2.9365,0.6304081632653061,2023/2024
Weekly,10/7/2023,booster,boosted,Wisconsin,Overall,Overall,5.0277,0.8704081632653061,2023/2024
Weekly,10/7/2023,booster,boosted,Wyoming,Overall,Overall,2.3308,0.34,2023/2024
Weekly,10/7/2023,booster,boosted,Region 1,Overall,Overall,5.9047,0.4405102040816326,2023/2024
Weekly,10/7/2023,booster,boosted,Region 10,Overall,Overall,4.2046,0.5080102040816327,2023/2024
Weekly,10/7/2023,booster,boosted,National,Health Insurance,Insured,4.7361,0.1988265306122449,2023/2024
Weekly,10/7/2023,booster,boosted,National,Health Insurance,Uninsured,1.0142,0.1306122448979592,2023/2024
Weekly,10/7/2023,booster,boosted,National,Gender Identity,Cisgender,4.3315,0.17938775510204083,2023/2024
Weekly,10/7/2023,booster,boosted,National,Gender Identity,Don't Know/Refused,2.6845,0.6931122448979592,2023/2024
Weekly,10/7/2023,booster,boosted,National,Gender Identity,Transgender/Nonbinary,3.2834,0.6535714285714286,2023/2024
Weekly,10/7/2023,booster,boosted,National,Disability Status,No,4.1418,0.16168367346938778,2023/2024
Weekly,10/7/2023,booster,boosted,National,Disability Status,Yes,5.6127,0.9676020408163266,2023/2024
Weekly,10/7/2023,booster,boosted,National,Age,18-29 years,1.3783,0.13173469387755102,2023/2024
Weekly,10/7/2023,booster,boosted,National,Age,30-39 years,2.6179,0.22933673469387755,2023/2024
Weekly,10/7/2023,booster,boosted,National,Age,40-49 years,2.2817,0.15704081632653064,2023/2024
Weekly,10/7/2023,booster,boosted,National,Age,50-64 years,4.0974,0.26290816326530614,2023/2024
Weekly,10/7/2023,booster,boosted,National,Age,65-74 years,9.6286,0.8147448979591837,2023/2024
Weekly,10/7/2023,booster,boosted,National,Age,75+ years,10.6407,1.1883673469387757,2023/2024
Weekly,10/7/2023,booster,boosted,National,Sexual Orientation,Straight,4.3787,0.1987244897959184,2023/2024
Weekly,10/7/2023,booster,boosted,National,Sex,Female,4.4598,0.24744897959183673,2023/2024
Weekly,10/7/2023,booster,boosted,National,Sex,Male,4.1272,0.2502551020408163,2023/2024
Weekly,10/7/2023,booster,boosted,National,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic",1.2469,0.29061224489795917,2023/2024
Weekly,10/7/2023,booster,boosted,National,Race/Ethnicity,"Asian, Non-Hispanic",2.9357,0.46163265306122453,2023/2024
Weekly,10/7/2023,booster,boosted,National,Race/Ethnicity,"Black, Non-Hispanic",2.797,0.256530612,2023/2024
Weekly,10/7/2023,booster,boosted,National,Race/Ethnicity,Hispanic,1.8723,0.14704081632653063,2023/2024
Weekly,10/7/2023,booster,boosted,Alaska,Overall,Overall,3.2746,0.7959693877551021,2023/2024
Weekly,10/7/2023,booster,boosted,Arizona,Overall,Overall,4.0154,0.3707142857142857,2023/2024
Weekly,10/7/2023,booster,boosted,Arkansas,Overall,Overall,2.565,0.3564795918367347,2023/2024
Weekly,10/7/2023,booster,boosted,California,Overall,Overall,4.7755,0.9564285714285715,2023/2024
Weekly,10/7/2023,booster,boosted,Colorado,Overall,Overall,3.6876,0.4220918367346939,2023/2024
Weekly,10/7/2023,booster,boosted,Connecticut,Overall,Overall,3.4785,0.6821938775510203,2023/2024
Weekly,10/7/2023,booster,boosted,Delaware,Overall,Overall,3.9628,0.3853061224489796,2023/2024
Weekly,10/7/2023,booster,boosted,District of Columbia,Overall,Overall,7.1281,0.5897448979591836,2023/2024
Weekly,10/7/2023,booster,boosted,Florida,Overall,Overall,3.8244,0.8099999999999999,2023/2024
Weekly,10/7/2023,booster,boosted,Maine,Overall,Overall,4.46,0.46265306122448985,2023/2024
Weekly,10/7/2023,booster,boosted,Maryland,Overall,Overall,8.721,1.9081122448979593,2023/2024
Weekly,10/7/2023,booster,boosted,Massachusetts,Overall,Overall,6.1521,0.503265306,2023/2024
Weekly,10/7/2023,booster,boosted,Michigan,Overall,Overall,3.7261,0.7472448979591836,2023/2024
Weekly,10/7/2023,booster,boosted,Minnesota,Overall,Overall,5.1271,0.7787244897959184,2023/2024
Weekly,10/7/2023,booster,boosted,Mississippi,Overall,Overall,2.7796,0.6075,2023/2024
Weekly,10/7/2023,booster,boosted,Missouri,Overall,Overall,2.7635,0.3691326530612245,2023/2024
Weekly,10/7/2023,booster,boosted,Montana,Overall,Overall,4.252,0.8288775510204082,2023/2024
Weekly,10/7/2023,booster,boosted,Nebraska,Overall,Overall,4.13,0.6525510204081633,2023/2024
Weekly,10/7/2023,booster,boosted,Oregon,Overall,Overall,3.5663,0.48653061224489796,2023/2024
Weekly,10/7/2023,booster,boosted,Pennsylvania,Overall,Overall,4.5059,0.8041836734693878,2023/2024
Weekly,10/7/2023,booster,boosted,Puerto Rico,Overall,Overall,1.6911,0.21239795918367346,2023/2024
Weekly,10/7/2023,booster,boosted,Rhode Island,Overall,Overall,6.4024,1.305153061,2023/2024
Weekly,10/7/2023,booster,boosted,South Carolina,Overall,Overall,2.7101,0.28127551020408165,2023/2024
Weekly,10/7/2023,booster,boosted,South Dakota,Overall,Overall,3.5183,0.4869387755102041,2023/2024
Weekly,10/7/2023,booster,boosted,Tennessee,Overall,Overall,2.077,0.26362244897959186,2023/2024
Weekly,10/7/2023,booster,boosted,Texas,Overall,Overall,2.3224,0.20489795918367348,2023/2024
Weekly,10/7/2023,booster,boosted,Utah,Overall,Overall,2.1829,0.4645408163265306,2023/2024
Weekly,10/7/2023,booster,boosted,Region 2,Overall,Overall,4.5858,0.45999999999999996,2023/2024
Weekly,10/7/2023,booster,boosted,Region 3,Overall,Overall,5.6236,0.5512244897959184,2023/2024
Weekly,10/7/2023,booster,boosted,Region 4,Overall,Overall,3.3232,0.3101530612244898,2023/2024
Weekly,10/7/2023,booster,boosted,Region 5,Overall,Overall,4.3568,0.2863775510204082,2023/2024
Weekly,10/7/2023,booster,boosted,Region 6,Overall,Overall,2.6565,0.18918367346938778,2023/2024
Weekly,10/7/2023,booster,boosted,Region 7,Overall,Overall,3.3621,0.2945918367346939,2023/2024
Weekly,10/7/2023,booster,boosted,Region 8,Overall,Overall,3.1242,0.2471938775510204,2023/2024
Weekly,10/7/2023,booster,boosted,Region 9,Overall,Overall,4.8859,0.7442857142857143,2023/2024
Weekly,10/7/2023,booster,boosted,National,Overall,Overall,4.299,0.17484693877551022,2023/2024
Weekly,10/14/2023,booster,boosted,Illinois-City of Chicago,Overall,Overall,10.7673,1.2939285714285713,2023/2024
Weekly,10/14/2023,booster,boosted,Illinois-Rest of State,Overall,Overall,7.4152,0.6208673469387755,2023/2024
Weekly,10/14/2023,booster,boosted,New York-New York City,Overall,Overall,7.5143,1.8308163265306123,2023/2024
Weekly,10/14/2023,booster,boosted,New York-Rest of State,Overall,Overall,6.5019,0.7962755102040816,2023/2024
Weekly,10/14/2023,booster,boosted,Pennsylvania-Philadelphia County,Overall,Overall,7.6392,1.0012755102040816,2023/2024
Weekly,10/14/2023,booster,boosted,Pennsylvania-Rest of State,Overall,Overall,7.9614,1.2060204081632653,2023/2024
Weekly,10/14/2023,booster,boosted,Texas-Bexar County,Overall,Overall,6.7588,0.7102551020408163,2023/2024
Weekly,10/14/2023,booster,boosted,Texas-City of Houston,Overall,Overall,6.6933,0.8151530612244897,2023/2024
Weekly,10/14/2023,booster,boosted,Texas-Rest of State,Overall,Overall,3.5967,0.546530612,2023/2024
Weekly,10/14/2023,booster,boosted,National,Health Insurance Among 18-64 Years,Insured,4.4175,0.1791326530612245,2023/2024
Weekly,10/14/2023,booster,boosted,National,Health Insurance Among 18-64 Years,Uninsured,1.1119,0.14112244897959184,2023/2024
Weekly,10/14/2023,booster,boosted,National,Urbanicity,Urban MSA Principal City,6.2465,0.3321938775510204,2023/2024
Weekly,10/14/2023,booster,boosted,National,Sexual Orientation,Don't Know/Refused,4.6525,0.43,2023/2024
Weekly,10/14/2023,booster,boosted,National,Sexual Orientation,Gay/Lesbian/Bisexual/Other,5.8376,0.5592346938775511,2023/2024
Weekly,10/14/2023,booster,boosted,National,Sexual Orientation,Straight,6.5205,0.22964285714285715,2023/2024
Weekly,10/14/2023,booster,boosted,National,Sex,Female,6.8281,0.2957142857142857,2023/2024
Weekly,10/14/2023,booster,boosted,National,Sex,Male,5.7859,0.27214285714285713,2023/2024
Weekly,10/14/2023,booster,boosted,National,Race/Ethnicity,"American Indian/Alaska Native, Non-Hispanic",1.3856,0.2926530612244898,2023/2024
Weekly,10/14/2023,booster,boosted,National,Race/Ethnicity,"Asian, Non-Hispanic",3.8372,0.530969388,2023/2024
Weekly,10/14/2023,booster,boosted,National,Poverty Status,"Above Poverty, Income < $75k",5.29,0.3598979591836735,2023/2024
Weekly,10/14/2023,booster,boosted,National,Poverty Status,Poverty Status Unknown,6.308,0.47469387755102044,2023/2024
Weekly,10/14/2023,booster,boosted,Alabama,Overall,Overall,2.4356,0.37127551020408167,2023/2024
Weekly,10/14/2023,booster,boosted,Alaska,Overall,Overall,5.2226,0.8952551020408163,2023/2024
Weekly,10/14/2023,booster,boosted,Arizona,Overall,Overall,5.8066,0.500969388,2023/2024
Weekly,10/14/2023,booster,boosted,Arkansas,Overall,Overall,3.2073,0.44392857142857145,2023/2024
Weekly,10/14/2023,booster,boosted,California,Overall,Overall,6.2931,0.8286734693877552,2023/2024
Weekly,10/14/2023,booster,boosted,Colorado,Overall,Overall,5.1231,0.4970918367346939,2023/2024
Weekly,10/14/2023,booster,boosted,Connecticut,Overall,Overall,8.1854,2.011173469387755,2023/2024
Weekly,10/14/2023,booster,boosted,Kansas,Overall,Overall,5.8244,0.7618367346938776,2023/2024
Weekly,10/14/2023,booster,boosted,Kentucky,Overall,Overall,6.9641,1.0044897959183674,2023/2024
Weekly,10/14/2023,booster,boosted,Louisiana,Overall,Overall,3.5822,0.44056122448979596,2023/2024
Weekly,10/14/2023,booster,boosted,Maine,Overall,Overall,7.3307,0.8812755102040817,2023/2024
Weekly,10/14/2023,booster,boosted,Maryland,Overall,Overall,11.4148,2.2707142857142855,2023/2024
Weekly,10/14/2023,booster,boosted,Massachusetts,Overall,Overall,10.348,1.0506122448979593,2023/2024
Weekly,10/14/2023,booster,boosted,Michigan,Overall,Overall,4.3288,0.7295918367346939,2023/2024
Weekly,10/14/2023,booster,boosted,Minnesota,Overall,Overall,8.9809,1.1,2023/2024
Weekly,10/14/2023,booster,boosted,Mississippi,Overall,Overall,3.5461,0.5382653061224489,2023/2024
Weekly,10/14/2023,booster,boosted,North Dakota,Overall,Overall,5.0243,1.0018367346938777,2023/2024
Weekly,10/14/2023,booster,boosted,Ohio,Overall,Overall,2.4486,0.2951530612244898,2023/2024
Weekly,10/14/2023,booster,boosted,Oklahoma,Overall,Overall,4.0778,0.480765306,2023/2024
Weekly,10/14/2023,booster,boosted,Oregon,Overall,Overall,6.2484,0.8189795918367347,2023/2024
Weekly,10/14/2023,booster,boosted,Pennsylvania,Overall,Overall,7.8451,1.0708163265306123,2023/2024
